user_id,item_id,product_name,rating,quantity,purchased
1,101,Spicy BBQ Chicken Pizza,2,4,1
1,118,Fluffy Blueberry Pancakes,0,0,0
1,116,Loaded Cheesy French Fries,5,4,1
1,102,Double Cheese Beef Burger,0,0,0
1,109,Grilled Ribeye Steak with Garlic Butter,0,0,0
1,106,Salmon & Tuna Sushi Platter,3,4,1
1,112,Glazed Strawberry Donuts,4,4,1
1,104,Creamy Alfredo Pasta with Shrimp,1,3,1
1,119,New York Style Cheesecake,5,1,1
1,117,Vanilla & Oreo Milkshake,2,4,1
1,114,Authentic Japanese Ramen Noodles,0,0,0
2,114,Authentic Japanese Ramen Noodles,0,0,0
2,116,Loaded Cheesy French Fries,2,2,1
2,105,Crispy Korean Fried Chicken,4,1,1
2,109,Grilled Ribeye Steak with Garlic Butter,5,4,1
2,110,Mexican Spicy Beef Tacos,5,2,1
2,118,Fluffy Blueberry Pancakes,5,4,1
2,106,Salmon & Tuna Sushi Platter,0,0,0
2,111,Whole Wheat Avocado Sandwich,4,1,1
2,117,Vanilla & Oreo Milkshake,1,1,1
3,104,Creamy Alfredo Pasta with Shrimp,4,3,1
3,114,Authentic Japanese Ramen Noodles,0,0,0
3,106,Salmon & Tuna Sushi Platter,0,0,0
3,120,Freshly Squeezed Orange Juice,5,3,1
3,102,Double Cheese Beef Burger,4,4,1
4,112,Glazed Strawberry Donuts,0,0,0
4,108,Premium Arabica Espresso Coffee,4,2,1
4,109,Grilled Ribeye Steak with Garlic Butter,5,3,1
4,104,Creamy Alfredo Pasta with Shrimp,5,3,1
4,106,Salmon & Tuna Sushi Platter,3,1,1
4,102,Double Cheese Beef Burger,4,1,1
4,113,Classic New York Hot Dog,3,3,1
4,116,Loaded Cheesy French Fries,4,2,1
4,111,Whole Wheat Avocado Sandwich,0,0,0
4,107,Belgian Chocolate Ice Cream,5,2,1
5,112,Glazed Strawberry Donuts,4,4,1
5,102,Double Cheese Beef Burger,3,2,1
5,115,Slow-Cooked BBQ Pork Ribs,0,0,0
5,108,Premium Arabica Espresso Coffee,1,2,1
5,105,Crispy Korean Fried Chicken,0,0,0
5,117,Vanilla & Oreo Milkshake,0,0,0
5,110,Mexican Spicy Beef Tacos,0,0,0
5,106,Salmon & Tuna Sushi Platter,5,4,1
6,109,Grilled Ribeye Steak with Garlic Butter,3,3,1
6,103,Caesar Salad with Grilled Chicken,0,0,0
6,116,Loaded Cheesy French Fries,5,3,1
6,118,Fluffy Blueberry Pancakes,4,4,1
6,113,Classic New York Hot Dog,3,4,1
7,111,Whole Wheat Avocado Sandwich,0,0,0
7,105,Crispy Korean Fried Chicken,4,1,1
7,104,Creamy Alfredo Pasta with Shrimp,0,0,0
7,120,Freshly Squeezed Orange Juice,4,1,1
7,112,Glazed Strawberry Donuts,5,4,1
7,106,Salmon & Tuna Sushi Platter,3,3,1
7,114,Authentic Japanese Ramen Noodles,0,0,0
8,110,Mexican Spicy Beef Tacos,5,1,1
8,113,Classic New York Hot Dog,4,1,1
8,112,Glazed Strawberry Donuts,4,1,1
8,107,Belgian Chocolate Ice Cream,5,4,1
8,114,Authentic Japanese Ramen Noodles,4,4,1
8,102,Double Cheese Beef Burger,3,1,1
8,105,Crispy Korean Fried Chicken,0,0,0
9,116,Loaded Cheesy French Fries,3,4,1
9,112,Glazed Strawberry Donuts,3,4,1
9,115,Slow-Cooked BBQ Pork Ribs,0,0,0
9,120,Freshly Squeezed Orange Juice,4,2,1
9,110,Mexican Spicy Beef Tacos,5,2,1
9,109,Grilled Ribeye Steak with Garlic Butter,5,2,1
9,107,Belgian Chocolate Ice Cream,3,4,1
10,106,Salmon & Tuna Sushi Platter,3,4,1
10,118,Fluffy Blueberry Pancakes,0,0,0
10,116,Loaded Cheesy French Fries,0,0,0
10,109,Grilled Ribeye Steak with Garlic Butter,2,2,1
10,111,Whole Wheat Avocado Sandwich,1,1,1
10,110,Mexican Spicy Beef Tacos,5,2,1
10,102,Double Cheese Beef Burger,0,0,0
10,108,Premium Arabica Espresso Coffee,5,4,1
10,119,New York Style Cheesecake,0,0,0
10,115,Slow-Cooked BBQ Pork Ribs,5,4,1
10,107,Belgian Chocolate Ice Cream,1,4,1
10,120,Freshly Squeezed Orange Juice,4,3,1
10,113,Classic New York Hot Dog,4,2,1
11,116,Loaded Cheesy French Fries,4,2,1
11,114,Authentic Japanese Ramen Noodles,3,3,1
11,102,Double Cheese Beef Burger,4,4,1
11,103,Caesar Salad with Grilled Chicken,5,2,1
11,109,Grilled Ribeye Steak with Garlic Butter,4,2,1
11,107,Belgian Chocolate Ice Cream,3,1,1
12,111,Whole Wheat Avocado Sandwich,5,2,1
12,103,Caesar Salad with Grilled Chicken,5,3,1
12,113,Classic New York Hot Dog,3,4,1
12,104,Creamy Alfredo Pasta with Shrimp,0,0,0
12,117,Vanilla & Oreo Milkshake,0,0,0
12,107,Belgian Chocolate Ice Cream,5,3,1
12,116,Loaded Cheesy French Fries,1,2,1
12,108,Premium Arabica Espresso Coffee,4,1,1
12,118,Fluffy Blueberry Pancakes,4,4,1
12,106,Salmon & Tuna Sushi Platter,0,0,0
12,102,Double Cheese Beef Burger,4,1,1
12,115,Slow-Cooked BBQ Pork Ribs,5,3,1
13,106,Salmon & Tuna Sushi Platter,4,2,1
13,107,Belgian Chocolate Ice Cream,3,4,1
13,112,Glazed Strawberry Donuts,1,1,1
13,111,Whole Wheat Avocado Sandwich,3,1,1
13,117,Vanilla & Oreo Milkshake,4,3,1
